(p) R,R (2),R (5),(p) G,G (2),G (5),(p) B,B (2),B (5),(p) GreyScale,GreyScale (2),GreyScale (5),garut,solo
221,212,223,95,185,200,205,198,211,186,195,208,1,0
216,205,213,217,207,214,220,211,217,216,207,214,1,0
175,182,169,30,128,99,29,73,41,29,138,113,0,1
225,217,220,101,103,103,142,140,142,223,141,142,1,0
121,130,120,146,153,144,106,113,103,144,142,132,1,0
84,86,76,51,53,45,25,27,22,48,60,52,0,1
33,118,35,24,66,24,16,34,16,25,78,26,0,1
115,96,117,69,59,71,33,31,35,23,67,81,0,1
18,33,20,12,21,13,14,20,15,13,24,15,0,1
79,86,79,101,105,99,131,133,129,130,103,96,1,0
